Date,Close
10/3/2022 16:00:00,85.62
10/4/2022 16:00:00,88.51
10/5/2022 16:00:00,90.12
10/6/2022 16:00:00,89.35
10/7/2022 16:00:00,87.03
10/10/2022 16:00:00,87.06
10/11/2022 16:00:00,86.21
10/12/2022 16:00:00,86.87
10/13/2022 16:00:00,89.37
10/14/2022 16:00:00,86.37
10/17/2022 16:00:00,88.9
10/18/2022 16:00:00,88.96
10/19/2022 16:00:00,87.52
10/20/2022 16:00:00,86.79
10/21/2022 16:00:00,88.61
10/24/2022 16:00:00,83.76
10/25/2022 16:00:00,85.21
10/26/2022 16:00:00,85.89
10/27/2022 16:00:00,85.28
10/28/2022 16:00:00,87.1
10/31/2022 16:00:00,86.59
11/1/2022 16:00:00,87.1
11/2/2022 16:00:00,84.58
11/3/2022 16:00:00,84.68
11/4/2022 16:00:00,91.86
11/7/2022 16:00:00,90.45
11/8/2022 16:00:00,92.75
11/9/2022 16:00:00,91.63
11/10/2022 16:00:00,96.26
11/11/2022 16:00:00,97.38
11/14/2022 16:00:00,97.42
11/15/2022 16:00:00,97.83
11/16/2022 16:00:00,97.07
11/17/2022 16:00:00,96.97
11/18/2022 16:00:00,97.95
11/21/2022 16:00:00,98.32
11/22/2022 16:00:00,98.43
11/23/2022 16:00:00,99.52
11/25/2022 13:05:00,99.56
11/28/2022 16:00:00,98.66
11/29/2022 16:00:00,98.66
11/30/2022 16:00:00,102.2
12/1/2022 16:00:00,103.37
12/2/2022 16:00:00,105.05
12/5/2022 16:00:00,103.55
12/6/2022 16:00:00,102.08
12/7/2022 16:00:00,101.87
12/8/2022 16:00:00,103.74
12/9/2022 16:00:00,101.79
12/12/2022 16:00:00,102.7
12/13/2022 16:00:00,102.11
12/14/2022 16:00:00,102.19
12/15/2022 16:00:00,99.99
12/16/2022 16:00:00,98.83
12/19/2022 16:00:00,98.3
12/20/2022 16:00:00,98
12/21/2022 16:00:00,98.67
12/22/2022 16:00:00,97.76
12/23/2022 16:00:00,98.27
12/27/2022 16:00:00,99.2
12/28/2022 16:00:00,98.6
12/29/2022 16:00:00,99.77
12/30/2022 16:00:00,99.2
1/3/2023 16:00:00,100.83
1/4/2023 16:00:00,104.46
1/5/2023 16:00:00,104.43
1/6/2023 16:00:00,106.69
1/9/2023 16:00:00,104.74
1/10/2023 16:00:00,106
1/11/2023 16:00:00,106.3
1/12/2023 16:00:00,105.85
1/13/2023 16:00:00,107.23
1/17/2023 16:00:00,106.75
1/18/2023 16:00:00,105
1/19/2023 16:00:00,104.26
1/20/2023 16:00:00,105.04
1/23/2023 16:00:00,106.21
1/24/2023 16:00:00,106.64
1/25/2023 16:00:00,106.98
1/26/2023 16:00:00,108.76
1/27/2023 16:00:00,109.02
1/30/2023 16:00:00,108.4
1/31/2023 16:00:00,109.14
2/1/2023 16:00:00,109.99
2/2/2023 16:00:00,109.15
2/3/2023 16:00:00,104.3
2/6/2023 16:00:00,105.02
2/7/2023 16:00:00,106.83
2/8/2023 16:00:00,106.3
2/9/2023 16:00:00,106.05
2/10/2023 16:00:00,107.09
2/13/2023 16:00:00,108.52
2/14/2023 16:00:00,107.98
